Student S10025 named Alexander Campbell, age 12, gender Female, is in Class 9. Scored 56 in Math, 39 in Science, 58 in English, 58 in History, and 39 in Computer, totaling 250 marks with Grade D. Attendance stands at 71.01 percent. Participates in Debate as an extracurricular activity.
Student S12412 named Mary Brandt, age 15, gender Male, is in Class 9. Scored 81 in Math, 72 in Science, 98 in English, 92 in History, and 98 in Computer, totaling 441 marks with Grade B. Attendance stands at 89.66 percent. Participates in Debate as an extracurricular activity.
Student S12413 named Brian Rocha, age 12, gender Female, is in Class 9. Scored 32 in Math, 33 in Science, 81 in English, 47 in History, and 99 in Computer, totaling 292 marks with Grade D. Attendance stands at 81.21 percent. Participates in Debate as an extracurricular activity.
Student S12422 named Vanessa Armstrong, age 10, gender Female, is in Class 9. Scored 83 in Math, 82 in Science, 58 in English, 67 in History, and 67 in Computer, totaling 357 marks with Grade C. Attendance stands at 63.12 percent. Participates in Music as an extracurricular activity.
Student S12430 named Luis Ellison, age 13, gender Female, is in Class 9. Scored 39 in Math, 41 in Science, 77 in English, 95 in History, and 91 in Computer, totaling 343 marks with Grade C. Attendance stands at 65.38 percent. Participates in Drama as an extracurricular activity.
Student S12432 named Terry Hunter, age 13, gender Male, is in Class 9. Scored 73 in Math, 53 in Science, 93 in English, 49 in History, and 63 in Computer, totaling 331 marks with Grade C. Attendance stands at 91.40 percent. Participates in Debate as an extracurricular activity.
Student S12450 named Amber Thomas, age 11, gender Male, is in Class 9. Scored 77 in Math, 34 in Science, 48 in English, 88 in History, and 98 in Computer, totaling 345 marks with Grade C. Attendance stands at 72.24 percent. Participates in Dance as an extracurricular activity.
Student S12455 named Amber Garcia, age 10, gender Female, is in Class 9. Scored 88 in Math, 42 in Science, 39 in English, 86 in History, and 62 in Computer, totaling 317 marks with Grade C. Attendance stands at 76.37 percent. Participates in Drama as an extracurricular activity.
Student S12462 named Michael Thornton, age 13, gender Female, is in Class 9. Scored 30 in Math, 95 in Science, 78 in English, 54 in History, and 79 in Computer, totaling 336 marks with Grade C. Attendance stands at 90.01 percent. Participates in Dance as an extracurricular activity.
Student S12471 named Elizabeth Leblanc, age 16, gender Female, is in Class 9. Scored 99 in Math, 75 in Science, 66 in English, 78 in History, and 63 in Computer, totaling 381 marks with Grade C. Attendance stands at 92.15 percent. Participates in None as an extracurricular activity.
Student S12476 named Michelle Joseph, age 14, gender Female, is in Class 9. Scored 66 in Math, 81 in Science, 86 in English, 98 in History, and 89 in Computer, totaling 420 marks with Grade B. Attendance stands at 62.96 percent. Participates in Music as an extracurricular activity.
Student S12479 named Charles Smith, age 15, gender Female, is in Class 9. Scored 68 in Math, 72 in Science, 67 in English, 43 in History, and 57 in Computer, totaling 307 marks with Grade C. Attendance stands at 66.06 percent. Participates in Debate as an extracurricular activity.
Student S12488 named Mrs. Ashley Jackson, age 14, gender Female, is in Class 9. Scored 67 in Math, 73 in Science, 64 in English, 50 in History, and 57 in Computer, totaling 311 marks with Grade C. Attendance stands at 91.52 percent. Participates in None as an extracurricular activity.
Student S12500 named Thomas Green, age 16, gender Female, is in Class 9. Scored 77 in Math, 89 in Science, 60 in English, 30 in History, and 48 in Computer, totaling 304 marks with Grade C. Attendance stands at 67.14 percent. Participates in Football as an extracurricular activity.
Student S12510 named Thomas Erickson, age 16, gender Female, is in Class 9. Scored 39 in Math, 40 in Science, 54 in English, 88 in History, and 40 in Computer, totaling 261 marks with Grade D. Attendance stands at 96.32 percent. Participates in Debate as an extracurricular activity.
Student S12535 named Tammy Wilson, age 12, gender Male, is in Class 9. Scored 77 in Math, 97 in Science, 50 in English, 42 in History, and 79 in Computer, totaling 345 marks with Grade C. Attendance stands at 99.17 percent. Participates in None as an extracurricular activity.
Student S12539 named Hunter Hall, age 16, gender Male, is in Class 9. Scored 51 in Math, 65 in Science, 49 in English, 56 in History, and 40 in Computer, totaling 261 marks with Grade D. Attendance stands at 65.31 percent. Participates in Football as an extracurricular activity.
Student S12540 named Carl Perez, age 13, gender Male, is in Class 9. Scored 62 in Math, 96 in Science, 32 in English, 41 in History, and 45 in Computer, totaling 276 marks with Grade D. Attendance stands at 94.33 percent. Participates in Music as an extracurricular activity.
Student S12542 named Julie Calderon, age 10, gender Female, is in Class 9. Scored 65 in Math, 52 in Science, 97 in English, 46 in History, and 88 in Computer, totaling 348 marks with Grade C. Attendance stands at 70.50 percent. Participates in Dance as an extracurricular activity.
Student S12553 named Lisa Snyder, age 17, gender Female, is in Class 9. Scored 31 in Math, 94 in Science, 84 in English, 71 in History, and 72 in Computer, totaling 352 marks with Grade C. Attendance stands at 76.17 percent. Participates in Drama as an extracurricular activity.
Student S12555 named Kevin Atkins, age 15, gender Female, is in Class 9. Scored 71 in Math, 39 in Science, 36 in English, 64 in History, and 51 in Computer, totaling 261 marks with Grade D. Attendance stands at 68.06 percent. Participates in Drama as an extracurricular activity.
Student S12567 named Kelly Durham, age 13, gender Female, is in Class 9. Scored 91 in Math, 42 in Science, 49 in English, 58 in History, and 59 in Computer, totaling 299 marks with Grade D. Attendance stands at 70.45 percent. Participates in Football as an extracurricular activity.
Student S12569 named John Adams, age 16, gender Male, is in Class 9. Scored 37 in Math, 53 in Science, 40 in English, 34 in History, and 34 in Computer, totaling 198 marks with Grade F. Attendance stands at 74.18 percent. Participates in Football as an extracurricular activity.
Student S12570 named Bryan Brewer, age 15, gender Female, is in Class 9. Scored 49 in Math, 85 in Science, 76 in English, 44 in History, and 38 in Computer, totaling 292 marks with Grade D. Attendance stands at 67.23 percent. Participates in Music as an extracurricular activity.
Student S12576 named Nathan Knight, age 12, gender Male, is in Class 9. Scored 42 in Math, 71 in Science, 79 in English, 44 in History, and 37 in Computer, totaling 273 marks with Grade D. Attendance stands at 86.23 percent. Participates in Drama as an extracurricular activity.
Student S12579 named Kevin Molina, age 16, gender Female, is in Class 9. Scored 60 in Math, 96 in Science, 91 in English, 49 in History, and 83 in Computer, totaling 379 marks with Grade C. Attendance stands at 91.01 percent. Participates in Football as an extracurricular activity.
Student S12580 named Kevin Bryant, age 12, gender Female, is in Class 9. Scored 40 in Math, 42 in Science, 52 in English, 96 in History, and 42 in Computer, totaling 272 marks with Grade D. Attendance stands at 65.35 percent. Participates in Music as an extracurricular activity.
Student S12582 named Andrea Smith, age 10, gender Female, is in Class 9. Scored 64 in Math, 55 in Science, 96 in English, 99 in History, and 84 in Computer, totaling 398 marks with Grade C. Attendance stands at 97.82 percent. Participates in Football as an extracurricular activity.
Student S12593 named John Montgomery, age 12, gender Male, is in Class 9. Scored 46 in Math, 72 in Science, 41 in English, 81 in History, and 30 in Computer, totaling 270 marks with Grade D. Attendance stands at 69.10 percent. Participates in Dance as an extracurricular activity.
Student S12595 named Jose Sanders, age 12, gender Female, is in Class 9. Scored 98 in Math, 92 in Science, 34 in English, 63 in History, and 46 in Computer, totaling 333 marks with Grade C. Attendance stands at 67.87 percent. Participates in None as an extracurricular activity.
Student S12598 named Amy Harris, age 16, gender Female, is in Class 9. Scored 90 in Math, 94 in Science, 35 in English, 64 in History, and 98 in Computer, totaling 381 marks with Grade C. Attendance stands at 86.90 percent. Participates in Dance as an extracurricular activity.
Student S12600 named Susan Miller, age 10, gender Male, is in Class 9. Scored 60 in Math, 89 in Science, 79 in English, 38 in History, and 54 in Computer, totaling 320 marks with Grade C. Attendance stands at 71.59 percent. Participates in Football as an extracurricular activity.
Student S12612 named David Banks, age 15, gender Female, is in Class 9. Scored 61 in Math, 94 in Science, 33 in English, 58 in History, and 41 in Computer, totaling 287 marks with Grade D. Attendance stands at 69.73 percent. Participates in Debate as an extracurricular activity.
Student S12619 named Mark Stevens Jr., age 16, gender Female, is in Class 9. Scored 53 in Math, 91 in Science, 58 in English, 51 in History, and 91 in Computer, totaling 344 marks with Grade C. Attendance stands at 94.37 percent. Participates in None as an extracurricular activity.
Student S12622 named Johnny Smith, age 15, gender Female, is in Class 9. Scored 61 in Math, 99 in Science, 74 in English, 37 in History, and 41 in Computer, totaling 312 marks with Grade C. Attendance stands at 87.06 percent. Participates in Dance as an extracurricular activity.
Student S12628 named Cynthia Pugh, age 11, gender Male, is in Class 9. Scored 45 in Math, 74 in Science, 44 in English, 93 in History, and 52 in Computer, totaling 308 marks with Grade C. Attendance stands at 77.99 percent. Participates in Drama as an extracurricular activity.
Student S12632 named Courtney Ashley, age 11, gender Male, is in Class 9. Scored 70 in Math, 69 in Science, 75 in English, 95 in History, and 37 in Computer, totaling 346 marks with Grade C. Attendance stands at 71.62 percent. Participates in Music as an extracurricular activity.
Student S12637 named Helen Perez, age 13, gender Male, is in Class 9. Scored 44 in Math, 90 in Science, 72 in English, 69 in History, and 63 in Computer, totaling 338 marks with Grade C. Attendance stands at 64.99 percent. Participates in Dance as an extracurricular activity.
Student S12640 named Angela Perez, age 13, gender Female, is in Class 9. Scored 91 in Math, 72 in Science, 33 in English, 42 in History, and 78 in Computer, totaling 316 marks with Grade C. Attendance stands at 85.73 percent. Participates in None as an extracurricular activity.
Student S12651 named Lauren Morris, age 14, gender Female, is in Class 9. Scored 56 in Math, 62 in Science, 49 in English, 75 in History, and 55 in Computer, totaling 297 marks with Grade D. Attendance stands at 68.64 percent. Participates in Dance as an extracurricular activity.
Student S12659 named Laura Lewis, age 15, gender Female, is in Class 9. Scored 97 in Math, 77 in Science, 95 in English, 44 in History, and 72 in Computer, totaling 385 marks with Grade C. Attendance stands at 84.54 percent. Participates in None as an extracurricular activity.
Student S12663 named Megan Dodson, age 12, gender Male, is in Class 9. Scored 38 in Math, 73 in Science, 83 in English, 66 in History, and 52 in Computer, totaling 312 marks with Grade C. Attendance stands at 98.66 percent. Participates in Dance as an extracurricular activity.
