Student S10002 named Christopher Taylor, age 17, gender Male, is in Class 7. Scored 71 in Math, 59 in Science, 30 in English, 88 in History, and 94 in Computer, totaling 342 marks with Grade C. Attendance stands at 71.95 percent. Participates in Music as an extracurricular activity.
Student S13587 named Amy Carey, age 11, gender Female, is in Class 7. Scored 48 in Math, 95 in Science, 81 in English, 76 in History, and 84 in Computer, totaling 384 marks with Grade C. Attendance stands at 88.55 percent. Participates in Music as an extracurricular activity.
Student S13594 named Beth Miller, age 11, gender Male, is in Class 7. Scored 78 in Math, 86 in Science, 81 in English, 90 in History, and 62 in Computer, totaling 397 marks with Grade C. Attendance stands at 87.21 percent. Participates in None as an extracurricular activity.
Student S13596 named Yesenia Patton, age 12, gender Female, is in Class 7. Scored 73 in Math, 51 in Science, 49 in English, 53 in History, and 64 in Computer, totaling 290 marks with Grade D. Attendance stands at 92.66 percent. Participates in Music as an extracurricular activity.
Student S13611 named Steven Carpenter, age 16, gender Male, is in Class 7. Scored 63 in Math, 68 in Science, 77 in English, 57 in History, and 62 in Computer, totaling 327 marks with Grade C. Attendance stands at 85.54 percent. Participates in Debate as an extracurricular activity.
Student S13616 named Julia Garcia, age 13, gender Male, is in Class 7. Scored 45 in Math, 88 in Science, 31 in English, 98 in History, and 63 in Computer, totaling 325 marks with Grade C. Attendance stands at 62.60 percent. Participates in Dance as an extracurricular activity.
Student S13623 named Kelly Stevens, age 15, gender Male, is in Class 7. Scored 69 in Math, 38 in Science, 84 in English, 45 in History, and 99 in Computer, totaling 335 marks with Grade C. Attendance stands at 97.22 percent. Participates in None as an extracurricular activity.
Student S13635 named Gwendolyn Drake, age 16, gender Male, is in Class 7. Scored 98 in Math, 85 in Science, 97 in English, 45 in History, and 78 in Computer, totaling 403 marks with Grade B. Attendance stands at 86.58 percent. Participates in Debate as an extracurricular activity.
Student S13664 named Cody Munoz, age 17, gender Female, is in Class 7. Scored 39 in Math, 38 in Science, 32 in English, 74 in History, and 50 in Computer, totaling 233 marks with Grade D. Attendance stands at 63.98 percent. Participates in Debate as an extracurricular activity.
Student S13671 named Justin Butler, age 15, gender Female, is in Class 7. Scored 35 in Math, 80 in Science, 49 in English, 52 in History, and 71 in Computer, totaling 287 marks with Grade D. Attendance stands at 90.97 percent. Participates in Debate as an extracurricular activity.
Student S13675 named Derrick Thomas, age 15, gender Male, is in Class 7. Scored 36 in Math, 47 in Science, 87 in English, 38 in History, and 69 in Computer, totaling 277 marks with Grade D. Attendance stands at 66.95 percent. Participates in Music as an extracurricular activity.
Student S13679 named Cynthia Walker, age 17, gender Male, is in Class 7. Scored 96 in Math, 31 in Science, 36 in English, 49 in History, and 99 in Computer, totaling 311 marks with Grade C. Attendance stands at 65.00 percent. Participates in Debate as an extracurricular activity.
Student S13681 named Linda Briggs, age 14, gender Female, is in Class 7. Scored 41 in Math, 54 in Science, 36 in English, 93 in History, and 70 in Computer, totaling 294 marks with Grade D. Attendance stands at 84.47 percent. Participates in Debate as an extracurricular activity.
Student S13691 named Aaron Salazar, age 15, gender Female, is in Class 7. Scored 86 in Math, 64 in Science, 93 in English, 91 in History, and 45 in Computer, totaling 379 marks with Grade C. Attendance stands at 96.67 percent. Participates in None as an extracurricular activity.
Student S13693 named Michael Chapman, age 12, gender Male, is in Class 7. Scored 89 in Math, 97 in Science, 54 in English, 81 in History, and 62 in Computer, totaling 383 marks with Grade C. Attendance stands at 76.33 percent. Participates in Debate as an extracurricular activity.
Student S13700 named Kimberly Morris, age 16, gender Female, is in Class 7. Scored 41 in Math, 52 in Science, 89 in English, 73 in History, and 84 in Computer, totaling 339 marks with Grade C. Attendance stands at 60.31 percent. Participates in Dance as an extracurricular activity.
Student S13713 named Lauren Waters, age 16, gender Male, is in Class 7. Scored 41 in Math, 39 in Science, 96 in English, 95 in History, and 83 in Computer, totaling 354 marks with Grade C. Attendance stands at 67.04 percent. Participates in None as an extracurricular activity.
Student S13726 named Bailey Harris, age 15, gender Male, is in Class 7. Scored 41 in Math, 89 in Science, 75 in English, 95 in History, and 67 in Computer, totaling 367 marks with Grade C. Attendance stands at 69.89 percent. Participates in Debate as an extracurricular activity.
Student S13740 named Sharon Harper, age 14, gender Female, is in Class 7. Scored 77 in Math, 51 in Science, 30 in English, 91 in History, and 86 in Computer, totaling 335 marks with Grade C. Attendance stands at 77.63 percent. Participates in Dance as an extracurricular activity.
Student S13749 named Cynthia Gamble, age 16, gender Female, is in Class 7. Scored 43 in Math, 47 in Science, 67 in English, 48 in History, and 97 in Computer, totaling 302 marks with Grade C. Attendance stands at 97.37 percent. Participates in Football as an extracurricular activity.
Student S13754 named Timothy Cain, age 16, gender Female, is in Class 7. Scored 37 in Math, 46 in Science, 68 in English, 37 in History, and 95 in Computer, totaling 283 marks with Grade D. Attendance stands at 88.75 percent. Participates in None as an extracurricular activity.
Student S13777 named Haley Lindsey, age 10, gender Male, is in Class 7. Scored 75 in Math, 89 in Science, 79 in English, 79 in History, and 77 in Computer, totaling 399 marks with Grade C. Attendance stands at 91.87 percent. Participates in Dance as an extracurricular activity.
Student S13778 named Ruben Anderson, age 13, gender Male, is in Class 7. Scored 86 in Math, 37 in Science, 43 in English, 48 in History, and 53 in Computer, totaling 267 marks with Grade D. Attendance stands at 91.10 percent. Participates in Drama as an extracurricular activity.
Student S13781 named Dorothy Nelson, age 13, gender Male, is in Class 7. Scored 39 in Math, 32 in Science, 57 in English, 92 in History, and 35 in Computer, totaling 255 marks with Grade D. Attendance stands at 91.74 percent. Participates in Music as an extracurricular activity.
Student S13783 named Brenda Raymond, age 14, gender Female, is in Class 7. Scored 31 in Math, 50 in Science, 57 in English, 69 in History, and 85 in Computer, totaling 292 marks with Grade D. Attendance stands at 99.34 percent. Participates in Dance as an extracurricular activity.
Student S13786 named John Stanton, age 11, gender Female, is in Class 7. Scored 43 in Math, 74 in Science, 69 in English, 76 in History, and 98 in Computer, totaling 360 marks with Grade C. Attendance stands at 90.21 percent. Participates in None as an extracurricular activity.
Student S13824 named Jessica Moore, age 13, gender Male, is in Class 7. Scored 31 in Math, 96 in Science, 86 in English, 48 in History, and 82 in Computer, totaling 343 marks with Grade C. Attendance stands at 89.95 percent. Participates in Football as an extracurricular activity.
Student S13829 named Timothy Haas, age 11, gender Female, is in Class 7. Scored 40 in Math, 77 in Science, 73 in English, 36 in History, and 44 in Computer, totaling 270 marks with Grade D. Attendance stands at 88.94 percent. Participates in Football as an extracurricular activity.
Student S13839 named Jennifer Jackson, age 10, gender Male, is in Class 7. Scored 98 in Math, 53 in Science, 71 in English, 93 in History, and 50 in Computer, totaling 365 marks with Grade C. Attendance stands at 63.57 percent. Participates in Dance as an extracurricular activity.
Student S13845 named Michael Johnston, age 14, gender Female, is in Class 7. Scored 33 in Math, 64 in Science, 44 in English, 79 in History, and 35 in Computer, totaling 255 marks with Grade D. Attendance stands at 81.81 percent. Participates in Dance as an extracurricular activity.
Student S13854 named Karen Hernandez, age 14, gender Female, is in Class 7. Scored 59 in Math, 48 in Science, 45 in English, 36 in History, and 97 in Computer, totaling 285 marks with Grade D. Attendance stands at 90.55 percent. Participates in Drama as an extracurricular activity.
Student S13855 named Diana Johnston DVM, age 13, gender Male, is in Class 7. Scored 38 in Math, 90 in Science, 53 in English, 97 in History, and 83 in Computer, totaling 361 marks with Grade C. Attendance stands at 72.92 percent. Participates in Music as an extracurricular activity.
Student S13858 named David Madden, age 12, gender Male, is in Class 7. Scored 74 in Math, 47 in Science, 69 in English, 54 in History, and 74 in Computer, totaling 318 marks with Grade C. Attendance stands at 79.12 percent. Participates in None as an extracurricular activity.
Student S13867 named Matthew Brooks, age 17, gender Male, is in Class 7. Scored 54 in Math, 86 in Science, 33 in English, 50 in History, and 77 in Computer, totaling 300 marks with Grade D. Attendance stands at 86.13 percent. Participates in Football as an extracurricular activity.
Student S13877 named Samantha Rios, age 12, gender Male, is in Class 7. Scored 41 in Math, 65 in Science, 71 in English, 63 in History, and 73 in Computer, totaling 313 marks with Grade C. Attendance stands at 77.46 percent. Participates in Dance as an extracurricular activity.
Student S13910 named Lydia Brown, age 17, gender Male, is in Class 7. Scored 40 in Math, 72 in Science, 42 in English, 48 in History, and 47 in Computer, totaling 249 marks with Grade D. Attendance stands at 61.94 percent. Participates in Drama as an extracurricular activity.
Student S13913 named Shelby Walters, age 16, gender Male, is in Class 7. Scored 58 in Math, 74 in Science, 34 in English, 32 in History, and 57 in Computer, totaling 255 marks with Grade D. Attendance stands at 81.44 percent. Participates in Debate as an extracurricular activity.
Student S13915 named Judith Little, age 11, gender Male, is in Class 7. Scored 48 in Math, 81 in Science, 89 in English, 48 in History, and 41 in Computer, totaling 307 marks with Grade C. Attendance stands at 66.41 percent. Participates in Dance as an extracurricular activity.
Student S13917 named Matthew Klein, age 12, gender Male, is in Class 7. Scored 42 in Math, 67 in Science, 90 in English, 38 in History, and 56 in Computer, totaling 293 marks with Grade D. Attendance stands at 71.94 percent. Participates in Football as an extracurricular activity.
Student S13926 named Edward Reed, age 15, gender Male, is in Class 7. Scored 77 in Math, 93 in Science, 83 in English, 72 in History, and 99 in Computer, totaling 424 marks with Grade B. Attendance stands at 72.46 percent. Participates in None as an extracurricular activity.
Student S13946 named Elizabeth Vega, age 16, gender Female, is in Class 7. Scored 40 in Math, 84 in Science, 62 in English, 45 in History, and 46 in Computer, totaling 277 marks with Grade D. Attendance stands at 81.45 percent. Participates in Dance as an extracurricular activity.
Student S13947 named Patrick Davies, age 14, gender Male, is in Class 7. Scored 58 in Math, 38 in Science, 63 in English, 96 in History, and 31 in Computer, totaling 286 marks with Grade D. Attendance stands at 85.11 percent. Participates in Music as an extracurricular activity.
