Student S10012 named Joseph Smith, age 12, gender Female, is in Class 10. Scored 83 in Math, 84 in Science, 37 in English, 75 in History, and 87 in Computer, totaling 366 marks with Grade C. Attendance stands at 83.67 percent. Participates in Drama as an extracurricular activity.
Student S13301 named Rodney Romero, age 14, gender Female, is in Class 10. Scored 39 in Math, 57 in Science, 74 in English, 50 in History, and 98 in Computer, totaling 318 marks with Grade C. Attendance stands at 97.39 percent. Participates in None as an extracurricular activity.
Student S13320 named Dr. Kimberly Chavez DDS, age 10, gender Female, is in Class 10. Scored 90 in Math, 76 in Science, 44 in English, 78 in History, and 39 in Computer, totaling 327 marks with Grade C. Attendance stands at 67.95 percent. Participates in Drama as an extracurricular activity.
Student S13326 named Adam Ramirez, age 10, gender Male, is in Class 10. Scored 51 in Math, 49 in Science, 84 in English, 45 in History, and 62 in Computer, totaling 291 marks with Grade D. Attendance stands at 99.41 percent. Participates in Debate as an extracurricular activity.
Student S13338 named Tina Howell, age 11, gender Male, is in Class 10. Scored 50 in Math, 71 in Science, 70 in English, 84 in History, and 56 in Computer, totaling 331 marks with Grade C. Attendance stands at 84.47 percent. Participates in Debate as an extracurricular activity.
Student S13339 named Elizabeth Gibbs, age 14, gender Male, is in Class 10. Scored 38 in Math, 52 in Science, 40 in English, 67 in History, and 89 in Computer, totaling 286 marks with Grade D. Attendance stands at 95.54 percent. Participates in Drama as an extracurricular activity.
Student S13352 named Pamela Bell, age 13, gender Male, is in Class 10. Scored 59 in Math, 86 in Science, 54 in English, 43 in History, and 84 in Computer, totaling 326 marks with Grade C. Attendance stands at 95.35 percent. Participates in Dance as an extracurricular activity.
Student S13361 named Danielle Walters, age 15, gender Male, is in Class 10. Scored 72 in Math, 53 in Science, 94 in English, 76 in History, and 61 in Computer, totaling 356 marks with Grade C. Attendance stands at 82.86 percent. Participates in Football as an extracurricular activity.
Student S13367 named Dave Johnson, age 17, gender Male, is in Class 10. Scored 44 in Math, 89 in Science, 79 in English, 41 in History, and 42 in Computer, totaling 295 marks with Grade D. Attendance stands at 70.76 percent. Participates in None as an extracurricular activity.
Student S13372 named Steven Smith, age 13, gender Male, is in Class 10. Scored 91 in Math, 40 in Science, 61 in English, 81 in History, and 86 in Computer, totaling 359 marks with Grade C. Attendance stands at 71.59 percent. Participates in Music as an extracurricular activity.
Student S13376 named Gloria Chavez, age 11, gender Male, is in Class 10. Scored 39 in Math, 69 in Science, 43 in English, 75 in History, and 72 in Computer, totaling 298 marks with Grade D. Attendance stands at 63.77 percent. Participates in Football as an extracurricular activity.
Student S13378 named Joanna Castro, age 14, gender Male, is in Class 10. Scored 49 in Math, 58 in Science, 79 in English, 92 in History, and 88 in Computer, totaling 366 marks with Grade C. Attendance stands at 93.42 percent. Participates in Drama as an extracurricular activity.
Student S13380 named Elizabeth Hill, age 17, gender Female, is in Class 10. Scored 60 in Math, 73 in Science, 52 in English, 42 in History, and 67 in Computer, totaling 294 marks with Grade D. Attendance stands at 69.04 percent. Participates in Dance as an extracurricular activity.
Student S13390 named Sharon Wilkins, age 17, gender Male, is in Class 10. Scored 46 in Math, 66 in Science, 65 in English, 38 in History, and 59 in Computer, totaling 274 marks with Grade D. Attendance stands at 78.40 percent. Participates in Dance as an extracurricular activity.
Student S13394 named Mr. William Morales, age 16, gender Female, is in Class 10. Scored 38 in Math, 41 in Science, 38 in English, 49 in History, and 31 in Computer, totaling 197 marks with Grade F. Attendance stands at 95.55 percent. Participates in None as an extracurricular activity.
Student S13400 named Marcus Dyer DDS, age 14, gender Male, is in Class 10. Scored 63 in Math, 90 in Science, 90 in English, 47 in History, and 96 in Computer, totaling 386 marks with Grade C. Attendance stands at 93.83 percent. Participates in None as an extracurricular activity.
Student S13407 named Lawrence Ray, age 14, gender Male, is in Class 10. Scored 85 in Math, 64 in Science, 53 in English, 87 in History, and 32 in Computer, totaling 321 marks with Grade C. Attendance stands at 90.72 percent. Participates in Music as an extracurricular activity.
Student S13417 named Thomas Lopez, age 16, gender Male, is in Class 10. Scored 97 in Math, 68 in Science, 86 in English, 59 in History, and 73 in Computer, totaling 383 marks with Grade C. Attendance stands at 87.55 percent. Participates in Debate as an extracurricular activity.
Student S13419 named Thomas Pham, age 11, gender Male, is in Class 10. Scored 89 in Math, 41 in Science, 62 in English, 83 in History, and 30 in Computer, totaling 305 marks with Grade C. Attendance stands at 68.73 percent. Participates in Dance as an extracurricular activity.
Student S13421 named Richard Robertson, age 10, gender Female, is in Class 10. Scored 51 in Math, 46 in Science, 58 in English, 78 in History, and 35 in Computer, totaling 268 marks with Grade D. Attendance stands at 93.14 percent. Participates in Music as an extracurricular activity.
Student S13433 named Brittany Barnes, age 15, gender Male, is in Class 10. Scored 72 in Math, 91 in Science, 61 in English, 89 in History, and 83 in Computer, totaling 396 marks with Grade C. Attendance stands at 82.40 percent. Participates in Drama as an extracurricular activity.
Student S13438 named Amber Gilbert, age 17, gender Female, is in Class 10. Scored 46 in Math, 42 in Science, 40 in English, 76 in History, and 98 in Computer, totaling 302 marks with Grade C. Attendance stands at 83.85 percent. Participates in Debate as an extracurricular activity.
Student S13441 named David Buchanan, age 14, gender Female, is in Class 10. Scored 44 in Math, 62 in Science, 51 in English, 48 in History, and 56 in Computer, totaling 261 marks with Grade D. Attendance stands at 78.51 percent. Participates in Dance as an extracurricular activity.
Student S13467 named Todd Smith, age 14, gender Female, is in Class 10. Scored 77 in Math, 39 in Science, 36 in English, 45 in History, and 32 in Computer, totaling 229 marks with Grade D. Attendance stands at 61.39 percent. Participates in Debate as an extracurricular activity.
Student S13469 named Kathryn Hubbard, age 12, gender Female, is in Class 10. Scored 70 in Math, 93 in Science, 61 in English, 96 in History, and 38 in Computer, totaling 358 marks with Grade C. Attendance stands at 64.37 percent. Participates in None as an extracurricular activity.
Student S13473 named Jaime Howell, age 12, gender Male, is in Class 10. Scored 39 in Math, 71 in Science, 32 in English, 82 in History, and 51 in Computer, totaling 275 marks with Grade D. Attendance stands at 98.83 percent. Participates in Debate as an extracurricular activity.
Student S13476 named Anthony Thomas, age 13, gender Female, is in Class 10. Scored 37 in Math, 41 in Science, 47 in English, 85 in History, and 93 in Computer, totaling 303 marks with Grade C. Attendance stands at 76.57 percent. Participates in Music as an extracurricular activity.
Student S13479 named Jessica Perez, age 15, gender Male, is in Class 10. Scored 73 in Math, 55 in Science, 81 in English, 88 in History, and 76 in Computer, totaling 373 marks with Grade C. Attendance stands at 81.26 percent. Participates in Dance as an extracurricular activity.
Student S13491 named Joshua Anderson, age 17, gender Male, is in Class 10. Scored 66 in Math, 48 in Science, 48 in English, 39 in History, and 78 in Computer, totaling 279 marks with Grade D. Attendance stands at 79.03 percent. Participates in None as an extracurricular activity.
Student S13508 named Regina Harrington, age 11, gender Female, is in Class 10. Scored 55 in Math, 99 in Science, 74 in English, 30 in History, and 33 in Computer, totaling 291 marks with Grade D. Attendance stands at 85.29 percent. Participates in Football as an extracurricular activity.
Student S13513 named Nicholas Delgado, age 15, gender Female, is in Class 10. Scored 49 in Math, 89 in Science, 87 in English, 43 in History, and 45 in Computer, totaling 313 marks with Grade C. Attendance stands at 72.75 percent. Participates in Football as an extracurricular activity.
Student S13524 named Tracy Lester, age 16, gender Male, is in Class 10. Scored 31 in Math, 52 in Science, 99 in English, 96 in History, and 55 in Computer, totaling 333 marks with Grade C. Attendance stands at 99.85 percent. Participates in Dance as an extracurricular activity.
Student S13533 named James Stevens, age 17, gender Female, is in Class 10. Scored 93 in Math, 96 in Science, 35 in English, 84 in History, and 41 in Computer, totaling 349 marks with Grade C. Attendance stands at 91.90 percent. Participates in Drama as an extracurricular activity.
Student S13546 named Jose Juarez, age 11, gender Female, is in Class 10. Scored 89 in Math, 54 in Science, 48 in English, 34 in History, and 63 in Computer, totaling 288 marks with Grade D. Attendance stands at 86.31 percent. Participates in Football as an extracurricular activity.
Student S13552 named Gary Dunn, age 14, gender Male, is in Class 10. Scored 58 in Math, 82 in Science, 79 in English, 69 in History, and 50 in Computer, totaling 338 marks with Grade C. Attendance stands at 81.77 percent. Participates in Debate as an extracurricular activity.
Student S13559 named Aaron Clark, age 10, gender Male, is in Class 10. Scored 31 in Math, 41 in Science, 73 in English, 91 in History, and 36 in Computer, totaling 272 marks with Grade D. Attendance stands at 96.49 percent. Participates in None as an extracurricular activity.
Student S13572 named Steven Woods, age 15, gender Female, is in Class 10. Scored 69 in Math, 88 in Science, 93 in English, 42 in History, and 30 in Computer, totaling 322 marks with Grade C. Attendance stands at 99.82 percent. Participates in Drama as an extracurricular activity.
Student S13580 named Timothy Barber, age 15, gender Female, is in Class 10. Scored 63 in Math, 85 in Science, 74 in English, 93 in History, and 48 in Computer, totaling 363 marks with Grade C. Attendance stands at 68.20 percent. Participates in Music as an extracurricular activity.
Student S13581 named Philip Valentine, age 14, gender Female, is in Class 10. Scored 92 in Math, 37 in Science, 75 in English, 40 in History, and 79 in Computer, totaling 323 marks with Grade C. Attendance stands at 88.73 percent. Participates in Music as an extracurricular activity.
Student S13591 named Nancy Reese, age 12, gender Male, is in Class 10. Scored 46 in Math, 73 in Science, 41 in English, 99 in History, and 52 in Computer, totaling 311 marks with Grade C. Attendance stands at 97.71 percent. Participates in Football as an extracurricular activity.
Student S13602 named Michael Smith, age 12, gender Male, is in Class 10. Scored 43 in Math, 43 in Science, 44 in English, 35 in History, and 90 in Computer, totaling 255 marks with Grade D. Attendance stands at 82.60 percent. Participates in None as an extracurricular activity.
Student S13605 named Monica Calhoun, age 14, gender Female, is in Class 10. Scored 37 in Math, 84 in Science, 34 in English, 88 in History, and 77 in Computer, totaling 320 marks with Grade C. Attendance stands at 99.93 percent. Participates in Debate as an extracurricular activity.
