Student S10008 named Valerie Smith, age 16, gender Female, is in Class 5. Scored 31 in Math, 85 in Science, 42 in English, 73 in History, and 43 in Computer, totaling 274 marks with Grade D. Attendance stands at 81.02 percent. Participates in Debate as an extracurricular activity.
Student S12445 named Robin Gonzalez, age 10, gender Female, is in Class 5. Scored 89 in Math, 42 in Science, 73 in English, 34 in History, and 56 in Computer, totaling 294 marks with Grade D. Attendance stands at 86.60 percent. Participates in Music as an extracurricular activity.
Student S12466 named Robert Meza, age 13, gender Male, is in Class 5. Scored 77 in Math, 74 in Science, 71 in English, 52 in History, and 76 in Computer, totaling 350 marks with Grade C. Attendance stands at 78.32 percent. Participates in Debate as an extracurricular activity.
Student S12470 named Brandon Torres, age 11, gender Male, is in Class 5. Scored 96 in Math, 32 in Science, 81 in English, 90 in History, and 82 in Computer, totaling 381 marks with Grade C. Attendance stands at 77.03 percent. Participates in None as an extracurricular activity.
Student S12486 named James Rodriguez, age 15, gender Female, is in Class 5. Scored 95 in Math, 57 in Science, 48 in English, 36 in History, and 44 in Computer, totaling 280 marks with Grade D. Attendance stands at 97.63 percent. Participates in Football as an extracurricular activity.
Student S12490 named Jeffrey Jones, age 12, gender Male, is in Class 5. Scored 57 in Math, 45 in Science, 81 in English, 72 in History, and 50 in Computer, totaling 305 marks with Grade C. Attendance stands at 65.17 percent. Participates in Music as an extracurricular activity.
Student S12505 named Robert Beck, age 14, gender Male, is in Class 5. Scored 82 in Math, 49 in Science, 77 in English, 66 in History, and 64 in Computer, totaling 338 marks with Grade C. Attendance stands at 93.75 percent. Participates in Debate as an extracurricular activity.
Student S12519 named Javier Miller, age 11, gender Male, is in Class 5. Scored 33 in Math, 90 in Science, 85 in English, 92 in History, and 79 in Computer, totaling 379 marks with Grade C. Attendance stands at 71.73 percent. Participates in None as an extracurricular activity.
Student S12520 named Michael Best MD, age 10, gender Male, is in Class 5. Scored 58 in Math, 32 in Science, 63 in English, 89 in History, and 45 in Computer, totaling 287 marks with Grade D. Attendance stands at 66.30 percent. Participates in Music as an extracurricular activity.
Student S12525 named Randy Hart, age 13, gender Male, is in Class 5. Scored 90 in Math, 46 in Science, 98 in English, 30 in History, and 64 in Computer, totaling 328 marks with Grade C. Attendance stands at 70.52 percent. Participates in None as an extracurricular activity.
Student S12529 named Christine Alexander, age 14, gender Male, is in Class 5. Scored 93 in Math, 33 in Science, 68 in English, 52 in History, and 92 in Computer, totaling 338 marks with Grade C. Attendance stands at 61.01 percent. Participates in Dance as an extracurricular activity.
Student S12546 named Stephanie Olsen, age 14, gender Male, is in Class 5. Scored 39 in Math, 66 in Science, 57 in English, 80 in History, and 83 in Computer, totaling 325 marks with Grade C. Attendance stands at 65.28 percent. Participates in Dance as an extracurricular activity.
Student S12551 named Lacey Yang, age 11, gender Female, is in Class 5. Scored 40 in Math, 62 in Science, 50 in English, 35 in History, and 84 in Computer, totaling 271 marks with Grade D. Attendance stands at 84.44 percent. Participates in Music as an extracurricular activity.
Student S12578 named Natalie Fritz, age 16, gender Female, is in Class 5. Scored 93 in Math, 67 in Science, 67 in English, 33 in History, and 85 in Computer, totaling 345 marks with Grade C. Attendance stands at 82.44 percent. Participates in Drama as an extracurricular activity.
Student S12599 named Jeff Willis, age 13, gender Female, is in Class 5. Scored 74 in Math, 70 in Science, 89 in English, 32 in History, and 41 in Computer, totaling 306 marks with Grade C. Attendance stands at 64.50 percent. Participates in Dance as an extracurricular activity.
Student S12602 named William Wilson, age 10, gender Male, is in Class 5. Scored 81 in Math, 48 in Science, 38 in English, 31 in History, and 90 in Computer, totaling 288 marks with Grade D. Attendance stands at 70.73 percent. Participates in Dance as an extracurricular activity.
Student S12604 named David Baker, age 13, gender Female, is in Class 5. Scored 50 in Math, 57 in Science, 50 in English, 87 in History, and 73 in Computer, totaling 317 marks with Grade C. Attendance stands at 92.88 percent. Participates in Dance as an extracurricular activity.
Student S12610 named Bryan Rice, age 11, gender Male, is in Class 5. Scored 61 in Math, 68 in Science, 87 in English, 41 in History, and 35 in Computer, totaling 292 marks with Grade D. Attendance stands at 85.23 percent. Participates in Dance as an extracurricular activity.
Student S12614 named Curtis Ellison, age 13, gender Female, is in Class 5. Scored 43 in Math, 55 in Science, 64 in English, 74 in History, and 99 in Computer, totaling 335 marks with Grade C. Attendance stands at 78.61 percent. Participates in Drama as an extracurricular activity.
Student S12617 named Justin Lynn, age 15, gender Male, is in Class 5. Scored 92 in Math, 62 in Science, 59 in English, 79 in History, and 72 in Computer, totaling 364 marks with Grade C. Attendance stands at 84.59 percent. Participates in Debate as an extracurricular activity.
Student S12620 named Kenneth Villarreal, age 10, gender Female, is in Class 5. Scored 39 in Math, 85 in Science, 30 in English, 67 in History, and 39 in Computer, totaling 260 marks with Grade D. Attendance stands at 71.25 percent. Participates in Football as an extracurricular activity.
Student S12623 named Heidi Hartman, age 13, gender Female, is in Class 5. Scored 76 in Math, 32 in Science, 58 in English, 73 in History, and 99 in Computer, totaling 338 marks with Grade C. Attendance stands at 86.86 percent. Participates in Dance as an extracurricular activity.
Student S12626 named Kelly Gomez, age 13, gender Male, is in Class 5. Scored 31 in Math, 47 in Science, 36 in English, 51 in History, and 84 in Computer, totaling 249 marks with Grade D. Attendance stands at 63.36 percent. Participates in Music as an extracurricular activity.
Student S12634 named Stephen Camacho, age 14, gender Male, is in Class 5. Scored 93 in Math, 67 in Science, 82 in English, 52 in History, and 47 in Computer, totaling 341 marks with Grade C. Attendance stands at 96.82 percent. Participates in Dance as an extracurricular activity.
Student S12646 named Sarah Baker, age 10, gender Male, is in Class 5. Scored 94 in Math, 61 in Science, 81 in English, 78 in History, and 92 in Computer, totaling 406 marks with Grade B. Attendance stands at 79.57 percent. Participates in Dance as an extracurricular activity.
Student S12647 named William Owens, age 11, gender Male, is in Class 5. Scored 71 in Math, 58 in Science, 83 in English, 35 in History, and 85 in Computer, totaling 332 marks with Grade C. Attendance stands at 64.11 percent. Participates in Dance as an extracurricular activity.
Student S12650 named Michelle Andrews, age 13, gender Male, is in Class 5. Scored 75 in Math, 39 in Science, 97 in English, 61 in History, and 45 in Computer, totaling 317 marks with Grade C. Attendance stands at 65.68 percent. Participates in Debate as an extracurricular activity.
Student S12653 named Emily Goodwin, age 17, gender Female, is in Class 5. Scored 80 in Math, 53 in Science, 71 in English, 75 in History, and 88 in Computer, totaling 367 marks with Grade C. Attendance stands at 69.11 percent. Participates in Music as an extracurricular activity.
Student S12661 named Anthony Hurley, age 15, gender Female, is in Class 5. Scored 40 in Math, 30 in Science, 31 in English, 51 in History, and 94 in Computer, totaling 246 marks with Grade D. Attendance stands at 79.70 percent. Participates in Music as an extracurricular activity.
Student S12684 named Michael Moran, age 17, gender Male, is in Class 5. Scored 73 in Math, 50 in Science, 35 in English, 36 in History, and 53 in Computer, totaling 247 marks with Grade D. Attendance stands at 96.19 percent. Participates in Dance as an extracurricular activity.
Student S12691 named Cheryl Palmer, age 12, gender Male, is in Class 5. Scored 77 in Math, 93 in Science, 91 in English, 54 in History, and 49 in Computer, totaling 364 marks with Grade C. Attendance stands at 99.11 percent. Participates in Football as an extracurricular activity.
Student S12706 named Jacob Miles, age 13, gender Male, is in Class 5. Scored 38 in Math, 55 in Science, 91 in English, 35 in History, and 54 in Computer, totaling 273 marks with Grade D. Attendance stands at 60.51 percent. Participates in Debate as an extracurricular activity.
Student S12722 named Tonya Alvarez, age 14, gender Female, is in Class 5. Scored 51 in Math, 88 in Science, 94 in English, 76 in History, and 67 in Computer, totaling 376 marks with Grade C. Attendance stands at 98.91 percent. Participates in Music as an extracurricular activity.
Student S12725 named Judy Sims, age 10, gender Female, is in Class 5. Scored 69 in Math, 93 in Science, 74 in English, 42 in History, and 51 in Computer, totaling 329 marks with Grade C. Attendance stands at 81.71 percent. Participates in Music as an extracurricular activity.
Student S12727 named Christina White, age 14, gender Female, is in Class 5. Scored 59 in Math, 53 in Science, 97 in English, 45 in History, and 35 in Computer, totaling 289 marks with Grade D. Attendance stands at 73.71 percent. Participates in None as an extracurricular activity.
Student S12732 named Margaret Campbell, age 10, gender Female, is in Class 5. Scored 82 in Math, 88 in Science, 82 in English, 82 in History, and 93 in Computer, totaling 427 marks with Grade B. Attendance stands at 67.32 percent. Participates in Drama as an extracurricular activity.
Student S12733 named Joseph Huynh, age 15, gender Male, is in Class 5. Scored 56 in Math, 38 in Science, 52 in English, 58 in History, and 40 in Computer, totaling 244 marks with Grade D. Attendance stands at 63.05 percent. Participates in Music as an extracurricular activity.
Student S12734 named William Buchanan, age 16, gender Female, is in Class 5. Scored 71 in Math, 40 in Science, 79 in English, 56 in History, and 66 in Computer, totaling 312 marks with Grade C. Attendance stands at 72.38 percent. Participates in Debate as an extracurricular activity.
Student S12749 named Jerry Calhoun, age 13, gender Female, is in Class 5. Scored 43 in Math, 46 in Science, 53 in English, 77 in History, and 71 in Computer, totaling 290 marks with Grade D. Attendance stands at 89.45 percent. Participates in Dance as an extracurricular activity.
Student S12758 named Laura Hayes, age 11, gender Male, is in Class 5. Scored 97 in Math, 93 in Science, 60 in English, 43 in History, and 49 in Computer, totaling 342 marks with Grade C. Attendance stands at 72.18 percent. Participates in Dance as an extracurricular activity.
Student S12760 named Erik Fleming, age 12, gender Male, is in Class 5. Scored 84 in Math, 68 in Science, 65 in English, 77 in History, and 54 in Computer, totaling 348 marks with Grade C. Attendance stands at 94.38 percent. Participates in Debate as an extracurricular activity.
Student S12762 named Jay Frey, age 17, gender Male, is in Class 5. Scored 39 in Math, 67 in Science, 91 in English, 95 in History, and 78 in Computer, totaling 370 marks with Grade C. Attendance stands at 92.16 percent. Participates in None as an extracurricular activity.
