Student S10001 named Rebecca Vargas, age 15, gender Male, is in Class 8. Scored 40 in Math, 94 in Science, 42 in English, 66 in History, and 70 in Computer, totaling 312 marks with Grade C. Attendance stands at 69.78 percent. Participates in Drama as an extracurricular activity.
Student S12788 named Melinda Jennings, age 13, gender Male, is in Class 8. Scored 96 in Math, 76 in Science, 95 in English, 85 in History, and 71 in Computer, totaling 423 marks with Grade B. Attendance stands at 61.92 percent. Participates in Drama as an extracurricular activity.
Student S12790 named Hunter Gallegos, age 15, gender Male, is in Class 8. Scored 85 in Math, 72 in Science, 60 in English, 57 in History, and 84 in Computer, totaling 358 marks with Grade C. Attendance stands at 74.20 percent. Participates in None as an extracurricular activity.
Student S12799 named Michael Lewis, age 13, gender Female, is in Class 8. Scored 58 in Math, 59 in Science, 96 in English, 42 in History, and 94 in Computer, totaling 349 marks with Grade C. Attendance stands at 69.41 percent. Participates in None as an extracurricular activity.
Student S12803 named Summer Henry, age 10, gender Female, is in Class 8. Scored 83 in Math, 72 in Science, 52 in English, 35 in History, and 65 in Computer, totaling 307 marks with Grade C. Attendance stands at 93.01 percent. Participates in Music as an extracurricular activity.
Student S12811 named Wayne Donovan, age 15, gender Female, is in Class 8. Scored 32 in Math, 32 in Science, 67 in English, 68 in History, and 57 in Computer, totaling 256 marks with Grade D. Attendance stands at 68.53 percent. Participates in Debate as an extracurricular activity.
Student S12821 named Darrell Valdez, age 13, gender Male, is in Class 8. Scored 43 in Math, 69 in Science, 46 in English, 45 in History, and 98 in Computer, totaling 301 marks with Grade C. Attendance stands at 90.74 percent. Participates in Debate as an extracurricular activity.
Student S12838 named Christina Rios, age 14, gender Female, is in Class 8. Scored 85 in Math, 56 in Science, 42 in English, 47 in History, and 63 in Computer, totaling 293 marks with Grade D. Attendance stands at 93.39 percent. Participates in Dance as an extracurricular activity.
Student S12841 named Jennifer Carr, age 10, gender Male, is in Class 8. Scored 65 in Math, 54 in Science, 65 in English, 95 in History, and 44 in Computer, totaling 323 marks with Grade C. Attendance stands at 71.75 percent. Participates in None as an extracurricular activity.
Student S12842 named Monica Norton, age 13, gender Male, is in Class 8. Scored 96 in Math, 97 in Science, 61 in English, 94 in History, and 30 in Computer, totaling 378 marks with Grade C. Attendance stands at 91.35 percent. Participates in Debate as an extracurricular activity.
Student S12845 named Christopher Young, age 17, gender Male, is in Class 8. Scored 35 in Math, 84 in Science, 47 in English, 91 in History, and 76 in Computer, totaling 333 marks with Grade C. Attendance stands at 60.28 percent. Participates in None as an extracurricular activity.
Student S12849 named Zachary Haas, age 16, gender Female, is in Class 8. Scored 98 in Math, 82 in Science, 92 in English, 43 in History, and 85 in Computer, totaling 400 marks with Grade C. Attendance stands at 81.89 percent. Participates in Drama as an extracurricular activity.
Student S12866 named Luke Richardson, age 14, gender Female, is in Class 8. Scored 75 in Math, 58 in Science, 91 in English, 98 in History, and 34 in Computer, totaling 356 marks with Grade C. Attendance stands at 68.64 percent. Participates in Football as an extracurricular activity.
Student S12868 named Mr. Larry Nelson, age 11, gender Female, is in Class 8. Scored 71 in Math, 49 in Science, 59 in English, 85 in History, and 41 in Computer, totaling 305 marks with Grade C. Attendance stands at 96.73 percent. Participates in Football as an extracurricular activity.
Student S12869 named Aaron Brewer, age 16, gender Female, is in Class 8. Scored 55 in Math, 66 in Science, 86 in English, 31 in History, and 38 in Computer, totaling 276 marks with Grade D. Attendance stands at 99.78 percent. Participates in Debate as an extracurricular activity.
Student S12881 named Donald Nunez, age 10, gender Male, is in Class 8. Scored 60 in Math, 66 in Science, 96 in English, 55 in History, and 69 in Computer, totaling 346 marks with Grade C. Attendance stands at 67.73 percent. Participates in Music as an extracurricular activity.
Student S12887 named Alyssa Griffin, age 17, gender Male, is in Class 8. Scored 66 in Math, 43 in Science, 64 in English, 56 in History, and 76 in Computer, totaling 305 marks with Grade C. Attendance stands at 86.50 percent. Participates in Music as an extracurricular activity.
Student S12892 named Ronald Black, age 14, gender Female, is in Class 8. Scored 67 in Math, 41 in Science, 44 in English, 43 in History, and 30 in Computer, totaling 225 marks with Grade D. Attendance stands at 60.05 percent. Participates in None as an extracurricular activity.
Student S12898 named Jaime Ross, age 17, gender Male, is in Class 8. Scored 34 in Math, 84 in Science, 78 in English, 43 in History, and 48 in Computer, totaling 287 marks with Grade D. Attendance stands at 96.79 percent. Participates in Drama as an extracurricular activity.
Student S12903 named Ashley Gould, age 15, gender Female, is in Class 8. Scored 79 in Math, 55 in Science, 64 in English, 87 in History, and 98 in Computer, totaling 383 marks with Grade C. Attendance stands at 66.57 percent. Participates in Drama as an extracurricular activity.
Student S12924 named Eric Roberts, age 17, gender Male, is in Class 8. Scored 38 in Math, 88 in Science, 49 in English, 56 in History, and 49 in Computer, totaling 280 marks with Grade D. Attendance stands at 88.35 percent. Participates in Debate as an extracurricular activity.
Student S12929 named Todd Robinson, age 11, gender Female, is in Class 8. Scored 83 in Math, 93 in Science, 85 in English, 36 in History, and 91 in Computer, totaling 388 marks with Grade C. Attendance stands at 89.11 percent. Participates in Debate as an extracurricular activity.
Student S12936 named Ashley Burns, age 16, gender Female, is in Class 8. Scored 35 in Math, 51 in Science, 54 in English, 39 in History, and 83 in Computer, totaling 262 marks with Grade D. Attendance stands at 74.29 percent. Participates in Football as an extracurricular activity.
Student S12961 named Daniel Jenkins, age 13, gender Male, is in Class 8. Scored 72 in Math, 77 in Science, 64 in English, 75 in History, and 88 in Computer, totaling 376 marks with Grade C. Attendance stands at 87.87 percent. Participates in Dance as an extracurricular activity.
Student S12968 named Ms. Janice Bell, age 16, gender Male, is in Class 8. Scored 62 in Math, 51 in Science, 77 in English, 67 in History, and 73 in Computer, totaling 330 marks with Grade C. Attendance stands at 90.48 percent. Participates in Music as an extracurricular activity.
Student S12983 named Regina Hernandez, age 13, gender Male, is in Class 8. Scored 65 in Math, 31 in Science, 99 in English, 97 in History, and 58 in Computer, totaling 350 marks with Grade C. Attendance stands at 61.58 percent. Participates in Drama as an extracurricular activity.
Student S12992 named Susan Small, age 16, gender Male, is in Class 8. Scored 84 in Math, 56 in Science, 31 in English, 57 in History, and 95 in Computer, totaling 323 marks with Grade C. Attendance stands at 79.30 percent. Participates in Debate as an extracurricular activity.
Student S13010 named Mario Medina, age 14, gender Male, is in Class 8. Scored 82 in Math, 72 in Science, 44 in English, 99 in History, and 62 in Computer, totaling 359 marks with Grade C. Attendance stands at 85.44 percent. Participates in None as an extracurricular activity.
Student S13023 named Anna Warren, age 10, gender Female, is in Class 8. Scored 86 in Math, 65 in Science, 32 in English, 86 in History, and 91 in Computer, totaling 360 marks with Grade C. Attendance stands at 72.25 percent. Participates in Music as an extracurricular activity.
Student S13030 named Cheryl Freeman, age 13, gender Male, is in Class 8. Scored 32 in Math, 31 in Science, 48 in English, 77 in History, and 37 in Computer, totaling 225 marks with Grade D. Attendance stands at 95.34 percent. Participates in None as an extracurricular activity.
Student S13047 named Paul Mccoy, age 17, gender Female, is in Class 8. Scored 70 in Math, 94 in Science, 57 in English, 78 in History, and 30 in Computer, totaling 329 marks with Grade C. Attendance stands at 72.21 percent. Participates in Dance as an extracurricular activity.
Student S13056 named Joshua Brown, age 17, gender Female, is in Class 8. Scored 44 in Math, 61 in Science, 77 in English, 57 in History, and 43 in Computer, totaling 282 marks with Grade D. Attendance stands at 60.70 percent. Participates in Drama as an extracurricular activity.
Student S13058 named Lisa Strong, age 14, gender Female, is in Class 8. Scored 98 in Math, 39 in Science, 82 in English, 48 in History, and 49 in Computer, totaling 316 marks with Grade C. Attendance stands at 71.19 percent. Participates in Football as an extracurricular activity.
Student S13066 named William Anderson, age 10, gender Male, is in Class 8. Scored 63 in Math, 96 in Science, 80 in English, 32 in History, and 64 in Computer, totaling 335 marks with Grade C. Attendance stands at 75.23 percent. Participates in Football as an extracurricular activity.
Student S13076 named Robert Beasley, age 12, gender Male, is in Class 8. Scored 98 in Math, 54 in Science, 63 in English, 55 in History, and 63 in Computer, totaling 333 marks with Grade C. Attendance stands at 71.58 percent. Participates in Football as an extracurricular activity.
Student S13083 named Amy Acevedo, age 16, gender Female, is in Class 8. Scored 91 in Math, 32 in Science, 42 in English, 59 in History, and 70 in Computer, totaling 294 marks with Grade D. Attendance stands at 73.80 percent. Participates in Music as an extracurricular activity.
Student S13094 named Gary Thompson, age 10, gender Female, is in Class 8. Scored 38 in Math, 34 in Science, 94 in English, 50 in History, and 69 in Computer, totaling 285 marks with Grade D. Attendance stands at 79.27 percent. Participates in Debate as an extracurricular activity.
Student S13103 named Whitney James, age 11, gender Female, is in Class 8. Scored 83 in Math, 52 in Science, 99 in English, 59 in History, and 52 in Computer, totaling 345 marks with Grade C. Attendance stands at 74.09 percent. Participates in Football as an extracurricular activity.
Student S13110 named Christopher Adams, age 11, gender Male, is in Class 8. Scored 66 in Math, 97 in Science, 57 in English, 35 in History, and 69 in Computer, totaling 324 marks with Grade C. Attendance stands at 70.04 percent. Participates in Debate as an extracurricular activity.
Student S13113 named Bridget Kirby, age 11, gender Female, is in Class 8. Scored 42 in Math, 53 in Science, 74 in English, 49 in History, and 48 in Computer, totaling 266 marks with Grade D. Attendance stands at 61.81 percent. Participates in Football as an extracurricular activity.
Student S13114 named Samuel White MD, age 17, gender Male, is in Class 8. Scored 91 in Math, 41 in Science, 65 in English, 77 in History, and 31 in Computer, totaling 305 marks with Grade C. Attendance stands at 84.67 percent. Participates in Drama as an extracurricular activity.
