Student S10000 named Brianna Smith, age 16, gender Female, is in Class 12. Scored 47 in Math, 85 in Science, 67 in English, 68 in History, and 81 in Computer, totaling 348 marks with Grade C. Attendance stands at 61.70 percent. Participates in None as an extracurricular activity.
Student S12514 named Jean Fields, age 17, gender Female, is in Class 12. Scored 40 in Math, 59 in Science, 36 in English, 30 in History, and 85 in Computer, totaling 250 marks with Grade D. Attendance stands at 67.00 percent. Participates in Dance as an extracurricular activity.
Student S12518 named Elizabeth Reeves MD, age 17, gender Male, is in Class 12. Scored 97 in Math, 31 in Science, 42 in English, 59 in History, and 47 in Computer, totaling 276 marks with Grade D. Attendance stands at 84.12 percent. Participates in Music as an extracurricular activity.
Student S12521 named Samantha Fisher, age 12, gender Male, is in Class 12. Scored 52 in Math, 60 in Science, 77 in English, 49 in History, and 91 in Computer, totaling 329 marks with Grade C. Attendance stands at 76.82 percent. Participates in Debate as an extracurricular activity.
Student S12524 named Morgan Massey, age 17, gender Male, is in Class 12. Scored 59 in Math, 76 in Science, 59 in English, 30 in History, and 51 in Computer, totaling 275 marks with Grade D. Attendance stands at 63.16 percent. Participates in Drama as an extracurricular activity.
Student S12534 named Jennifer Nelson, age 13, gender Male, is in Class 12. Scored 31 in Math, 45 in Science, 80 in English, 91 in History, and 57 in Computer, totaling 304 marks with Grade C. Attendance stands at 84.69 percent. Participates in Debate as an extracurricular activity.
Student S12558 named Steven Fuentes, age 15, gender Female, is in Class 12. Scored 89 in Math, 86 in Science, 67 in English, 84 in History, and 72 in Computer, totaling 398 marks with Grade C. Attendance stands at 62.38 percent. Participates in None as an extracurricular activity.
Student S12577 named Lisa Bailey, age 11, gender Male, is in Class 12. Scored 71 in Math, 33 in Science, 82 in English, 73 in History, and 87 in Computer, totaling 346 marks with Grade C. Attendance stands at 76.30 percent. Participates in Drama as an extracurricular activity.
Student S12605 named Elizabeth Jones, age 15, gender Male, is in Class 12. Scored 67 in Math, 44 in Science, 59 in English, 95 in History, and 41 in Computer, totaling 306 marks with Grade C. Attendance stands at 67.78 percent. Participates in Dance as an extracurricular activity.
Student S12609 named Jackie Mosley, age 11, gender Female, is in Class 12. Scored 98 in Math, 59 in Science, 95 in English, 30 in History, and 56 in Computer, totaling 338 marks with Grade C. Attendance stands at 67.42 percent. Participates in Debate as an extracurricular activity.
Student S12615 named Lisa Eaton, age 11, gender Female, is in Class 12. Scored 96 in Math, 46 in Science, 96 in English, 59 in History, and 34 in Computer, totaling 331 marks with Grade C. Attendance stands at 63.35 percent. Participates in Drama as an extracurricular activity.
Student S12616 named Brandon Wells, age 13, gender Male, is in Class 12. Scored 91 in Math, 88 in Science, 82 in English, 67 in History, and 99 in Computer, totaling 427 marks with Grade B. Attendance stands at 89.49 percent. Participates in None as an extracurricular activity.
Student S12630 named Susan Rodgers, age 17, gender Female, is in Class 12. Scored 57 in Math, 59 in Science, 65 in English, 92 in History, and 98 in Computer, totaling 371 marks with Grade C. Attendance stands at 67.29 percent. Participates in Dance as an extracurricular activity.
Student S12638 named Tara Fields, age 10, gender Male, is in Class 12. Scored 42 in Math, 32 in Science, 40 in English, 49 in History, and 56 in Computer, totaling 219 marks with Grade D. Attendance stands at 70.46 percent. Participates in Dance as an extracurricular activity.
Student S12648 named Brenda Martin, age 13, gender Male, is in Class 12. Scored 64 in Math, 52 in Science, 57 in English, 34 in History, and 62 in Computer, totaling 269 marks with Grade D. Attendance stands at 87.62 percent. Participates in Debate as an extracurricular activity.
Student S12662 named Julie Figueroa, age 15, gender Female, is in Class 12. Scored 61 in Math, 89 in Science, 60 in English, 73 in History, and 40 in Computer, totaling 323 marks with Grade C. Attendance stands at 94.77 percent. Participates in Music as an extracurricular activity.
Student S12666 named Patricia Knox, age 12, gender Female, is in Class 12. Scored 40 in Math, 91 in Science, 48 in English, 73 in History, and 51 in Computer, totaling 303 marks with Grade C. Attendance stands at 79.93 percent. Participates in Drama as an extracurricular activity.
Student S12677 named Karen Rodriguez, age 11, gender Female, is in Class 12. Scored 49 in Math, 56 in Science, 57 in English, 97 in History, and 56 in Computer, totaling 315 marks with Grade C. Attendance stands at 67.26 percent. Participates in None as an extracurricular activity.
Student S12678 named Patrick Martin, age 15, gender Female, is in Class 12. Scored 59 in Math, 65 in Science, 61 in English, 98 in History, and 41 in Computer, totaling 324 marks with Grade C. Attendance stands at 64.56 percent. Participates in Drama as an extracurricular activity.
Student S12679 named Nicholas Carrillo, age 15, gender Male, is in Class 12. Scored 94 in Math, 72 in Science, 95 in English, 76 in History, and 49 in Computer, totaling 386 marks with Grade C. Attendance stands at 74.19 percent. Participates in Drama as an extracurricular activity.
Student S12702 named Isaac May, age 14, gender Male, is in Class 12. Scored 38 in Math, 40 in Science, 64 in English, 50 in History, and 48 in Computer, totaling 240 marks with Grade D. Attendance stands at 78.19 percent. Participates in Drama as an extracurricular activity.
Student S12714 named Alyssa Jones, age 13, gender Female, is in Class 12. Scored 80 in Math, 71 in Science, 78 in English, 52 in History, and 59 in Computer, totaling 340 marks with Grade C. Attendance stands at 63.32 percent. Participates in None as an extracurricular activity.
Student S12730 named Jennifer Mueller, age 13, gender Male, is in Class 12. Scored 77 in Math, 86 in Science, 92 in English, 99 in History, and 65 in Computer, totaling 419 marks with Grade B. Attendance stands at 89.98 percent. Participates in Dance as an extracurricular activity.
Student S12735 named Nicholas Ramirez, age 14, gender Male, is in Class 12. Scored 85 in Math, 84 in Science, 44 in English, 71 in History, and 31 in Computer, totaling 315 marks with Grade C. Attendance stands at 72.46 percent. Participates in Music as an extracurricular activity.
Student S12742 named Paul Townsend, age 11, gender Male, is in Class 12. Scored 31 in Math, 60 in Science, 57 in English, 80 in History, and 78 in Computer, totaling 306 marks with Grade C. Attendance stands at 82.86 percent. Participates in Football as an extracurricular activity.
Student S12743 named Jonathan Thompson, age 11, gender Male, is in Class 12. Scored 33 in Math, 66 in Science, 76 in English, 95 in History, and 94 in Computer, totaling 364 marks with Grade C. Attendance stands at 90.24 percent. Participates in Football as an extracurricular activity.
Student S12744 named Melissa Garrison, age 17, gender Male, is in Class 12. Scored 68 in Math, 62 in Science, 65 in English, 43 in History, and 62 in Computer, totaling 300 marks with Grade D. Attendance stands at 75.69 percent. Participates in Dance as an extracurricular activity.
Student S12746 named Dennis Molina, age 11, gender Male, is in Class 12. Scored 66 in Math, 47 in Science, 90 in English, 63 in History, and 52 in Computer, totaling 318 marks with Grade C. Attendance stands at 66.24 percent. Participates in Music as an extracurricular activity.
Student S12747 named Jacob Jenkins, age 12, gender Female, is in Class 12. Scored 80 in Math, 54 in Science, 30 in English, 48 in History, and 54 in Computer, totaling 266 marks with Grade D. Attendance stands at 99.91 percent. Participates in Football as an extracurricular activity.
Student S12764 named Spencer Adams, age 15, gender Male, is in Class 12. Scored 45 in Math, 85 in Science, 44 in English, 51 in History, and 68 in Computer, totaling 293 marks with Grade D. Attendance stands at 91.27 percent. Participates in None as an extracurricular activity.
Student S12773 named Kayla Davis, age 10, gender Male, is in Class 12. Scored 81 in Math, 76 in Science, 73 in English, 87 in History, and 90 in Computer, totaling 407 marks with Grade B. Attendance stands at 65.53 percent. Participates in Music as an extracurricular activity.
Student S12784 named Virginia Johnson, age 12, gender Female, is in Class 12. Scored 72 in Math, 44 in Science, 46 in English, 81 in History, and 33 in Computer, totaling 276 marks with Grade D. Attendance stands at 99.81 percent. Participates in Drama as an extracurricular activity.
Student S12806 named Timothy Scott, age 15, gender Female, is in Class 12. Scored 79 in Math, 81 in Science, 87 in English, 81 in History, and 71 in Computer, totaling 399 marks with Grade C. Attendance stands at 87.43 percent. Participates in Football as an extracurricular activity.
Student S12812 named John Ramirez, age 12, gender Female, is in Class 12. Scored 48 in Math, 89 in Science, 33 in English, 87 in History, and 59 in Computer, totaling 316 marks with Grade C. Attendance stands at 72.29 percent. Participates in Drama as an extracurricular activity.
Student S12816 named Michael Hall, age 12, gender Male, is in Class 12. Scored 90 in Math, 79 in Science, 59 in English, 79 in History, and 31 in Computer, totaling 338 marks with Grade C. Attendance stands at 95.07 percent. Participates in Dance as an extracurricular activity.
Student S12848 named Ashley Bailey, age 14, gender Male, is in Class 12. Scored 85 in Math, 98 in Science, 89 in English, 52 in History, and 46 in Computer, totaling 370 marks with Grade C. Attendance stands at 62.83 percent. Participates in Debate as an extracurricular activity.
Student S12854 named Kayla Collins, age 14, gender Male, is in Class 12. Scored 39 in Math, 82 in Science, 44 in English, 49 in History, and 95 in Computer, totaling 309 marks with Grade C. Attendance stands at 94.37 percent. Participates in Drama as an extracurricular activity.
Student S12861 named Cody Gray, age 15, gender Female, is in Class 12. Scored 88 in Math, 49 in Science, 41 in English, 98 in History, and 57 in Computer, totaling 333 marks with Grade C. Attendance stands at 71.79 percent. Participates in None as an extracurricular activity.
Student S12882 named Robert Wong, age 13, gender Female, is in Class 12. Scored 67 in Math, 54 in Science, 57 in English, 62 in History, and 77 in Computer, totaling 317 marks with Grade C. Attendance stands at 78.54 percent. Participates in Dance as an extracurricular activity.
Student S12886 named Adrian Lawrence, age 14, gender Female, is in Class 12. Scored 93 in Math, 74 in Science, 84 in English, 78 in History, and 71 in Computer, totaling 400 marks with Grade C. Attendance stands at 78.26 percent. Participates in Drama as an extracurricular activity.
Student S12894 named Alexis Beltran, age 13, gender Female, is in Class 12. Scored 70 in Math, 30 in Science, 84 in English, 40 in History, and 81 in Computer, totaling 305 marks with Grade C. Attendance stands at 73.36 percent. Participates in Drama as an extracurricular activity.
